Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784241019,10,,Aggregated,0.900000,0.100000,7800,8300,8300,9300,10000,10000,10000,10000,10000,10000,10000,11,1,7800,6909.497454089764,1798.9660419989377,10229.04425500019,5712.090909090909
1784241020,10,POST,/query [on-topic],0.900000,0.100000,8300,8600,9300,9300,10000,10000,10000,10000,10000,10000,10000,10,1,7800,8078.291503798391,6080.913418998534,10229.04425500019,6929.7
1784241020,10,POST,/query [out-of-domain],0.100000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,0,1800,1871.1981396675885,1759.5417920019827,2055.0865850018454,634.0
1784241020,10,,Aggregated,1.000000,0.100000,7800,8300,8600,9300,10000,10000,10000,10000,10000,10000,10000,13,1,7800,6645.885342845129,1759.5417920019827,10229.04425500019,5476.846153846154
1784241021,10,POST,/query [on-topic],0.900000,0.100000,8600,8600,10000,10000,10000,10000,10000,10000,10000,10000,10000,11,1,7800,7879.8268975442625,5895.180835002975,10229.04425500019,6693.727272727273
1784241021,10,POST,/query [out-of-domain],0.100000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,0,1800,1871.1981396675885,1759.5417920019827,2055.0865850018454,634.0
1784241021,10,,Aggregated,1.000000,0.100000,7500,7500,8600,8600,10000,10000,10000,10000,10000,10000,10000,14,1,7500,6592.263592284975,1759.5417920019827,10229.04425500019,5395.214285714285
1784241022,10,POST,/query [on-topic],0.600000,0.000000,8600,8600,8600,8600,10000,10000,10000,10000,10000,10000,10000,13,1,7900,7938.761243921852,5895.180835002975,10229.04425500019,6644.615384615385
1784241022,10,POST,/query [out-of-domain],0.100000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,0,1800,1871.1981396675885,1759.5417920019827,2055.0865850018454,634.0
1784241022,10,,Aggregated,0.700000,0.000000,7900,8600,8600,8600,10000,10000,10000,10000,10000,10000,10000,16,1,7800,6801.093161874178,1759.5417920019827,10229.04425500019,5517.625
